 TEAM_NAME, W_PCT, FGM, FGA, FG3M,Eff FG, OREB, DREB
 Atlanta Hawks,0.585,38.6,84.4,9.9,0.515995261,8.3,33.8
 Boston Celtics,0.585,39.2,89.2,8.7,0.4882287,11.6,33.3
 Brooklyn Nets,0.256,38.2,84.4,6.5,0.491113744,10.5,31.9
 Charlotte Hornets,0.585,37,84.4,10.6,0.501184834,9,35
 Chicago Bulls,0.512,38.6,87.4,7.9,0.486842105,11.1,35.2
 Cleveland Cavaliers,0.695,38.7,84,10.7,0.524404762,10.6,33.9
 Dallas Mavericks,0.512,37.4,84.1,9.8,0.502972652,9.2,33.9
 Denver Nuggets,0.402,37.7,85.4,8,0.488290398,11.5,33.1
 Detroit Pistons,0.537,37.9,86.4,9,0.490740741,12.5,33.9
 Golden State Warriors,0.89,42.5,87.3,13.1,0.56185567,10,36.2
 Houston Rockets,0.5,37.7,83.5,10.7,0.515568862,11.3,31.7
 Indiana Pacers,0.549,38.3,85.2,8.1,0.497065728,10.3,33.9
 LA Clippers,0.646,38.3,82.4,9.7,0.523665049,8.8,33.3
 Los Angeles Lakers,0.207,35.1,84.8,7.8,0.45990566,10.7,32.3
 Memphis Grizzlies,0.512,36.8,83.6,6.1,0.476674641,11.2,30.5
 Miami Heat,0.585,38.4,81.7,6.1,0.507343941,9.8,34.3
 Milwaukee Bucks,0.402,38.4,82.2,5.4,0.5,10.5,31.2
 Minnesota Timberwolves,0.354,37.7,81.3,5.5,0.497539975,10,31.5
 New Orleans Pelicans,0.366,38.5,85.9,8.6,0.498253783,9.5,33.1
 New York Knicks,0.39,36.9,84,7.4,0.483333333,10.4,34
 Oklahoma City Thunder,0.671,41.1,86.4,8.3,0.523726852,13.1,35.6
 Orlando Magic,0.427,39.5,86.8,7.8,0.5,10.3,33
 Philadelphia 76ers,0.122,36.2,84,9.3,0.486309524,9.5,31.8
 Phoenix Suns,0.28,37.2,85.6,9,0.487149533,11.5,33.3
 Portland Trail Blazers,0.537,38.6,85.9,10.5,0.510477299,11.6,33.9
 Sacramento Kings,0.402,40,86.4,8,0.509259259,10.6,33.7
 San Antonio Spurs,0.817,40.1,82.9,7,0.525934861,9.4,34.5
 Toronto Raptors,0.683,36.7,81.3,8.6,0.504305043,10.2,33.2
 Utah Jazz,0.488,36.1,80.4,8.5,0.501865672,10.7,32.5
 Washington Wizards,0.5,39.5,85.8,8.6,0.51048951,9.1,32.8
,,,,,,,
