 TEAM_NAME, W_PCT, FGM, FGA, FG3M, OREB, DREB, TOV,Eff FG, FT_PCT
 Atlanta Hawks,0.333,37.5,84.5,8.3,11.3,33,16,0.492899408,0.764
 Boston Celtics,0.5,38.4,84.1,12.7,9.4,28.5,13.4,0.532104637,0.773
 Chicago Bulls,0.333,36.3,82.5,7,12.5,34.2,15.3,0.482424242,0.849
 Cleveland Cavaliers,0.722,40.9,83.1,14.2,9.2,32.9,13.1,0.577617329,0.767
 Golden State Warriors,0.941,42.9,87,12.7,9.3,36.5,13.6,0.566091954,0.815
 Houston Rockets,0.545,37.3,85,12.8,9.9,33,14,0.514117647,0.789
 Indiana Pacers,0,40.5,87,11.3,11.8,30.3,13.3,0.53045977,0.767
 LA Clippers,0.429,36.4,77,8.1,7.7,30,12.1,0.525324675,0.696
 Memphis Grizzlies,0.333,34.7,77.2,9.3,7.7,27.8,11.3,0.509715026,0.869
 Milwaukee Bucks,0.333,34.8,78.2,9,8.2,29.8,13.3,0.502557545,0.696
 Oklahoma City Thunder,0.2,38.6,87.4,8.4,12.2,31.4,12.8,0.489702517,0.689
 Portland Trail Blazers,0,35.5,89.5,11,10,34,15.3,0.458100559,0.804
 San Antonio Spurs,0.5,40,86.6,8.6,12.8,31.7,12.8,0.511547344,0.773
 Toronto Raptors,0.4,35.3,79.5,7.8,6.8,32.5,12.9,0.493081761,0.813
 Utah Jazz,0.364,35.6,78.4,9.5,6.7,32.4,12.1,0.514668367,0.732
 Washington Wizards,0.538,40.1,87.6,8.4,11.2,31.8,13.8,0.505707763,0.794
